category,skills,E
HR,"recruitment, hr policies, onboarding, test cases",7.2
Data Scientist,"python, statistics, sql, ml",7.4
Software Engineer,"react, c++, rest, microservices, python, java",0
Product Manager,"user research, agile, communication, analytics, prioritization, stakeholder, employee relations",2.8
Business Analyst,"reporting, data visualization, excel, sql, requirement gathering",0.7
DevOps Engineer,"monitoring, bash, terraform, aws",7.3
Product Manager,"sql, wireframing, communication, prioritization, analytics, data structures",1.5
Product Manager,"roadmap, pricing, sql",1.8
Data Scientist,"deep learning, numpy, nlp, pandas, scikit-learn, data visualization",6.4
Software Engineer,"docker, nodejs, sql, rest",2.2
Product Manager,"prioritization, pricing, stakeholder, agile, sql, communication",3.2
Software Engineer,"python, microservices, data structures, java, rest, git",4.8
Data Scientist,"tensorflow, nlp, pandas, kubernetes",7
Business Analyst,"powerbi, reporting, data visualization, stakeholder",1.9
UI/UX Designer,"prototyping, adobe xd, usability testing, user research, figma, wireframing",4.1
QA Engineer,"test cases, bug tracking, postman, selenium, manual testing",1.5
Product Manager,"prioritization, agile, analytics, communication, wireframing, user research",4.8
Software Engineer,"git, microservices, sql, react, java, nodejs",7.6
Marketing,"google ads, analytics, seo, figma",3.8
Marketing,"campaign, seo, email marketing, social media, google ads, analytics",3.2
DevOps Engineer,"kubernetes, ci/cd, monitoring, ansible, docker, jenkins, requirement gathering",2.7
Data Scientist,"ml, keras, tensorflow",5.3
Software Engineer,"algorithms, data structures, sql, c++, docker, react",6
Marketing,"email marketing, analytics, campaign, content, social media",3.6
Software Engineer,"nodejs, react, java, algorithms, git, sql, recruitment",6.2
Product Manager,"communication, roadmap, stakeholder, wireframing, sql, pricing, data visualization",6.4
Marketing,"email marketing, analytics, branding, social media",2.4
Software Engineer,"sql, nodejs, c++, data structures, python, java, account management",9
Sales,"account management, closing deals, lead generation, roadmap",3.6
Data Scientist,"ml, statistics, nlp, numpy, python",2.4
Software Engineer,"data structures, python, sql",0.2
Software Engineer,"rest, microservices, java",0.8
Software Engineer,"sql, nodejs, rest, python, algorithms, cold calling",5.9
Software Engineer,"c++, data structures, microservices, git, react",0.4
Software Engineer,"react, rest, sql, microservices, data structures, python",4.6
Marketing,"email marketing, content, branding, google ads",3.6
Business Analyst,"stakeholder, tableau, requirement gathering",2.6
Sales,"crm, salesforce, negotiation, account management, cold calling",4
HR,"employee relations, onboarding, recruitment, hr policies, talent acquisition, interviewing",3.4
UI/UX Designer,"responsive design, figma, wireframing, html, adobe xd, prototyping",5.9
UI/UX Designer,"wireframing, adobe xd, css",5.1
Sales,"lead generation, crm, negotiation, salesforce, account management, r",4.2
QA Engineer,"performance testing, bug tracking, pytest, email marketing",5.6
Software Engineer,"java, sql, git",3.2
UI/UX Designer,"wireframing, css, adobe xd, html, responsive design, usability testing",5.1
UI/UX Designer,"user research, figma, wireframing, usability testing, html",2
Business Analyst,"excel, tableau, stakeholder, reporting, requirement gathering",6.5
DevOps Engineer,"jenkins, bash, ci/cd",1.7
QA Engineer,"automation, postman, bug tracking, selenium",3.4
Marketing,"analytics, branding, google ads, content, social media, python",1
Product Manager,"pricing, prioritization, communication, agile, analytics, user research",4.6
UI/UX Designer,"user research, wireframing, html, responsive design, prototyping, css",6.5
UI/UX Designer,"prototyping, responsive design, wireframing, user research, html, adobe xd",3.4
QA Engineer,"pytest, performance testing, selenium",0
Marketing,"analytics, seo, email marketing, google ads, deep learning",0
Software Engineer,"python, docker, microservices, nodejs, recruitment",2.7
QA Engineer,"performance testing, test cases, selenium, pytest, automation",5.3
Sales,"salesforce, negotiation, lead generation, crm",2.3
Product Manager,"agile, stakeholder, communication, pricing, prioritization",0
UI/UX Designer,"figma, adobe xd, wireframing, user research, html, responsive design",2.2
Marketing,"google ads, content, social media, email marketing, campaign",5.7
QA Engineer,"postman, test cases, performance testing, manual testing, pytest",6.1
Product Manager,"communication, pricing, analytics",6.1
Sales,"lead generation, negotiation, crm, salesforce, closing deals, account management, recruitment",13.1
Software Engineer,"react, rest, data structures",5.7
HR,"payroll, interviewing, talent acquisition, onboarding",0.7
HR,"talent acquisition, onboarding, interviewing, employee relations",4.9
Software Engineer,"python, rest, c++",5.4
Product Manager,"stakeholder, analytics, communication, pricing",5.6
Business Analyst,"reporting, sql, powerbi",7.1
UI/UX Designer,"adobe xd, figma, responsive design, wireframing",3.9
HR,"interviewing, onboarding, hr policies, payroll, recruitment, user research",1.6
DevOps Engineer,"terraform, bash, monitoring",4.7
UI/UX Designer,"responsive design, html, user research, adobe xd, usability testing",0.3
Sales,"cold calling, account management, crm, closing deals, salesforce, negotiation, kubernetes",2
Business Analyst,"sql, reporting, powerbi, stakeholder, tableau, excel",1.9
Product Manager,"wireframing, analytics, roadmap, sql",3.7
Product Manager,"stakeholder, user research, agile, pricing, prioritization",5.1
Data Scientist,"scikit-learn, keras, tensorflow, deep learning, pandas, r, closing deals",1.9
DevOps Engineer,"docker, terraform, monitoring, aws, data visualization",2.7
HR,"recruitment, hr policies, interviewing, employee relations, payroll, talent acquisition",10.1
Sales,"closing deals, account management, cold calling, salesforce, negotiation",3.3
Business Analyst,"excel, sql, data visualization",4.7
Product Manager,"sql, wireframing, user research, analytics, agile, pricing",7.5
Marketing,"seo, content, email marketing",4.3
Sales,"salesforce, lead generation, crm",4.4
Software Engineer,"algorithms, nodejs, rest, sql, data structures, microservices, seo",2.8
Product Manager,"agile, analytics, communication",4.4
QA Engineer,"selenium, performance testing, manual testing",6.1
Product Manager,"agile, prioritization, stakeholder, roadmap, analytics, pricing",6.9
Product Manager,"agile, user research, pricing, communication, wireframing, analytics",0
UI/UX Designer,"responsive design, html, adobe xd",5.9
Sales,"salesforce, lead generation, closing deals, crm, account management, sql",1.8
QA Engineer,"automation, postman, selenium, pytest, test cases",2.3
Data Scientist,"r, keras, tensorflow, numpy, interviewing",5.9
Product Manager,"wireframing, prioritization, pricing, stakeholder, agile, roadmap",9.4
DevOps Engineer,"bash, ansible, terraform, kubernetes, jenkins",7.9
DevOps Engineer,"terraform, linux, ci/cd",2.9
Marketing,"branding, analytics, google ads",0.5
Software Engineer,"data structures, python, microservices",9.2
Marketing,"analytics, google ads, seo, social media, onboarding",3.8
Business Analyst,"requirement gathering, reporting, stakeholder, sql, data visualization, excel",7.2
Software Engineer,"sql, microservices, react, data structures, bug tracking",1.4
Marketing,"seo, campaign, analytics, content",6.7
Software Engineer,"python, docker, c++, nodejs, cold calling",0
Business Analyst,"excel, reporting, powerbi, data visualization",2.9
Sales,"negotiation, salesforce, closing deals",4.3
QA Engineer,"automation, postman, performance testing, selenium, manual testing, bug tracking",4.6
Software Engineer,"python, algorithms, microservices, git",3.8
Business Analyst,"sql, powerbi, data visualization, excel, salesforce",4
QA Engineer,"performance testing, postman, automation, bug tracking, pytest",4.1
Business Analyst,"stakeholder, data visualization, tableau",2.6
HR,"employee relations, recruitment, interviewing",0.4
UI/UX Designer,"figma, css, adobe xd, usability testing, responsive design, user research",4.2
Software Engineer,"sql, algorithms, microservices, python, docker, c++",7.2
QA Engineer,"manual testing, automation, test cases",2.8
QA Engineer,"selenium, automation, manual testing, postman, performance testing, stakeholder",2.9
Data Scientist,"keras, ml, deep learning, tensorflow",0
UI/UX Designer,"figma, user research, adobe xd, css, lead generation",1.9
HR,"onboarding, hr policies, recruitment",6.4
HR,"recruitment, interviewing, employee relations, payroll",9.3
HR,"talent acquisition, interviewing, employee relations, payroll, onboarding, pytest",10.5
Product Manager,"agile, stakeholder, communication, sql",5.7
HR,"employee relations, onboarding, payroll, interviewing, talent acquisition, hr policies",1.3
Software Engineer,"nodejs, data structures, python, algorithms",5.1
DevOps Engineer,"aws, docker, linux",3.2
HR,"onboarding, interviewing, payroll, hr policies, employee relations, recruitment",14.1
Software Engineer,"nodejs, data structures, microservices, java, docker",6.5
HR,"interviewing, onboarding, talent acquisition, recruitment",6.3
QA Engineer,"selenium, test cases, automation",5.8
Marketing,"email marketing, analytics, campaign",4.4
DevOps Engineer,"monitoring, ci/cd, aws, terraform, docker",2.9
HR,"onboarding, talent acquisition, employee relations, hr policies, ci/cd",0
DevOps Engineer,"linux, bash, kubernetes, aws",3.7
Sales,"closing deals, salesforce, cold calling, negotiation, account management",1.2
DevOps Engineer,"docker, monitoring, jenkins, terraform, bash",7.3
Business Analyst,"tableau, sql, data visualization, stakeholder, powerbi, reporting, social media",5.5
Product Manager,"sql, pricing, communication, roadmap, agile, user research, figma",6.8
Marketing,"analytics, email marketing, branding, google ads, content, seo, reporting",3.8
Marketing,"email marketing, analytics, seo",3.4
UI/UX Designer,"figma, usability testing, html, selenium",0
DevOps Engineer,"jenkins, ansible, docker, linux",2.5
Marketing,"google ads, analytics, campaign, branding, seo, social media, interviewing",0
DevOps Engineer,"jenkins, kubernetes, linux, terraform",6.5
Software Engineer,"nodejs, microservices, data structures, docker, rest",8
Business Analyst,"data visualization, stakeholder, sql, tableau, requirement gathering, reporting, react",3.3
Marketing,"content, google ads, seo, email marketing",3
HR,"onboarding, recruitment, hr policies, employee relations",0.2
QA Engineer,"automation, bug tracking, pytest, performance testing, test cases, manual testing, linux",9.2
Business Analyst,"stakeholder, sql, tableau, hr policies",5
Business Analyst,"data visualization, powerbi, requirement gathering, stakeholder, excel, email marketing",0
Data Scientist,"keras, statistics, python, sql, r",0.9
Sales,"negotiation, account management, crm, lead generation, cold calling, closing deals, sql",0
Marketing,"google ads, campaign, email marketing, linux",0
Sales,"lead generation, salesforce, cold calling, crm",5.7
Data Scientist,"ml, tensorflow, numpy, statistics, data visualization",2.4
HR,"payroll, onboarding, employee relations, hr policies, recruitment, interviewing, seo",4.2
DevOps Engineer,"ansible, aws, kubernetes, docker",0.7
Marketing,"branding, analytics, email marketing, content, google ads",2.3
Product Manager,"agile, analytics, prioritization, roadmap, pricing, sql",6.5
Marketing,"email marketing, google ads, content, seo, branding",2.2
Business Analyst,"excel, reporting, stakeholder, powerbi, data visualization, tableau",7.9
Data Scientist,"pandas, numpy, python, keras, employee relations",6.6
HR,"payroll, hr policies, recruitment, employee relations, talent acquisition",12.4
HR,"recruitment, payroll, onboarding",3.4
Product Manager,"roadmap, user research, stakeholder, communication, sql",0
Sales,"lead generation, negotiation, account management, salesforce, cold calling, crm",5.5
Marketing,"analytics, branding, social media",4.6
Data Scientist,"numpy, pandas, statistics, nlp, r, sql, campaign",8.4
Sales,"closing deals, lead generation, salesforce",3
DevOps Engineer,"docker, terraform, ci/cd, bash, aws, cold calling",9.1
Business Analyst,"powerbi, reporting, requirement gathering, stakeholder, sql, data visualization",6.3
Data Scientist,"scikit-learn, statistics, sql",0
UI/UX Designer,"figma, adobe xd, user research, html, prototyping, selenium",3.6
Marketing,"social media, branding, google ads, content, seo, campaign",1.9
QA Engineer,"performance testing, test cases, automation",4.5
Sales,"salesforce, cold calling, negotiation, account management, lead generation, crm",0
Sales,"closing deals, salesforce, lead generation, crm, negotiation, cold calling",5.4
QA Engineer,"test cases, postman, manual testing, account management",3.7
Sales,"closing deals, negotiation, account management, cold calling, salesforce",7.9
Data Scientist,"pandas, deep learning, python, tensorflow",9.1
DevOps Engineer,"kubernetes, linux, docker, aws, terraform, ci/cd",8.2
Product Manager,"analytics, wireframing, user research",5.1
Business Analyst,"excel, reporting, stakeholder, sql, powerbi, requirement gathering",0
UI/UX Designer,"usability testing, wireframing, figma, responsive design",4.7
UI/UX Designer,"html, user research, figma",2.7
UI/UX Designer,"wireframing, usability testing, figma, python",1
Software Engineer,"c++, git, algorithms, sql, docker, data structures",3.3
DevOps Engineer,"terraform, bash, monitoring, jenkins, ansible, docker",6.5
Marketing,"social media, content, branding",0
HR,"recruitment, interviewing, employee relations",4.8
Marketing,"content, email marketing, branding, analytics",2.8
DevOps Engineer,"ci/cd, monitoring, ansible, automation",4.5
Marketing,"branding, seo, analytics, social media",0.6
UI/UX Designer,"usability testing, adobe xd, wireframing, nodejs",5.1
Product Manager,"stakeholder, roadmap, user research, analytics, wireframing",4.9
HR,"recruitment, onboarding, payroll, employee relations",5.3
Product Manager,"sql, roadmap, stakeholder, communication, pricing, prioritization",6
Marketing,"social media, google ads, email marketing, content, analytics",0.7
HR,"hr policies, talent acquisition, recruitment",5.4
Sales,"lead generation, salesforce, cold calling",2.8
Marketing,"email marketing, content, campaign, social media",3.6
QA Engineer,"bug tracking, selenium, test cases, manual testing",2.7
Sales,"lead generation, closing deals, salesforce, account management",2.4
Software Engineer,"sql, docker, java, react, git, content",9.2
Product Manager,"user research, communication, analytics",3.7
QA Engineer,"performance testing, manual testing, postman, bug tracking, data structures",4.5
Software Engineer,"microservices, react, c++, nodejs, python, git",3.2
UI/UX Designer,"figma, adobe xd, usability testing",4.8
HR,"recruitment, employee relations, interviewing",3.2
Data Scientist,"pandas, keras, numpy, statistics",8.6
QA Engineer,"selenium, performance testing, pytest, postman, test cases",6.8
Sales,"closing deals, account management, crm, negotiation, salesforce, cold calling",0
HR,"onboarding, hr policies, interviewing, ml",2.9
Sales,"negotiation, account management, closing deals, statistics",3.6
DevOps Engineer,"monitoring, aws, bash, linux",1.8
HR,"interviewing, employee relations, talent acquisition, hr policies, onboarding, email marketing",2.1
QA Engineer,"bug tracking, manual testing, pytest, postman, automation, performance testing",4.5
Sales,"account management, lead generation, negotiation, figma",5.4
Business Analyst,"stakeholder, sql, powerbi",0
Business Analyst,"reporting, excel, powerbi, tableau, data visualization, sql, closing deals",3.8
HR,"talent acquisition, payroll, onboarding, account management",9.1
QA Engineer,"manual testing, selenium, test cases",0
Data Scientist,"r, deep learning, tensorflow, scikit-learn",0
Product Manager,"pricing, roadmap, wireframing, prioritization, user research",4
Sales,"salesforce, closing deals, cold calling, account management, figma",5.1
QA Engineer,"test cases, automation, performance testing, bug tracking, pytest",0
HR,"interviewing, payroll, onboarding, talent acquisition",6.2
Marketing,"social media, google ads, branding, seo, campaign, user research",4
Data Scientist,"tensorflow, r, deep learning, nlp, python, keras",1.9
Sales,"account management, negotiation, closing deals, cold calling",2.3
Marketing,"email marketing, google ads, analytics, seo, performance testing",1
Product Manager,"communication, pricing, agile, sql, roadmap, user research",1.6
QA Engineer,"test cases, pytest, automation",0
Data Scientist,"sql, keras, nlp",1.3
Product Manager,"roadmap, analytics, wireframing, communication, user research, pricing",10.1
Product Manager,"communication, user research, stakeholder, sql, analytics, lead generation",5.1
Product Manager,"agile, sql, communication, analytics, prioritization, stakeholder",6.6
QA Engineer,"bug tracking, manual testing, selenium, employee relations",4
HR,"employee relations, interviewing, onboarding",2.3
Product Manager,"agile, wireframing, pricing, stakeholder, sql, roadmap, sql",9.1
HR,"interviewing, payroll, recruitment, onboarding",0
Product Manager,"sql, agile, user research",2.8
HR,"interviewing, onboarding, employee relations, hr policies, payroll, seo",5.1
QA Engineer,"bug tracking, selenium, pytest, manual testing",6.7
Sales,"account management, lead generation, cold calling, salesforce, crm, negotiation",3.3
Sales,"crm, account management, lead generation, cold calling, salesforce, docker",0.5
HR,"employee relations, payroll, interviewing, hr policies, onboarding",3.8
UI/UX Designer,"figma, usability testing, user research",1.5
Business Analyst,"requirement gathering, reporting, sql, stakeholder, tableau, automation",3.1
Software Engineer,"rest, c++, nodejs, java",8.9
Product Manager,"wireframing, sql, analytics",0
DevOps Engineer,"monitoring, docker, linux, jenkins",0
HR,"employee relations, talent acquisition, hr policies, wireframing",10.5
Software Engineer,"data structures, react, java, nodejs",4.2
QA Engineer,"automation, pytest, performance testing",8.7
UI/UX Designer,"css, usability testing, wireframing, figma",5.4
Marketing,"branding, content, campaign, analytics, social media",5
HR,"onboarding, payroll, recruitment, talent acquisition, interviewing",5.5
Business Analyst,"stakeholder, powerbi, reporting",2.9
QA Engineer,"selenium, postman, automation, bug tracking",1.1
HR,"employee relations, hr policies, payroll, recruitment, talent acquisition",4.1
Sales,"negotiation, lead generation, salesforce, closing deals",4.2
Data Scientist,"statistics, scikit-learn, python, pandas",9.4
Business Analyst,"tableau, reporting, stakeholder, sql",2.8
Sales,"account management, negotiation, closing deals, cold calling",5.1
UI/UX Designer,"adobe xd, wireframing, user research",3.6
Business Analyst,"tableau, requirement gathering, sql, data visualization, c++",1.4
Business Analyst,"tableau, reporting, sql, powerbi, excel",7.3
QA Engineer,"test cases, automation, pytest, postman, performance testing, sql",2
QA Engineer,"manual testing, bug tracking, performance testing, automation, stakeholder",3.5
Product Manager,"communication, roadmap, analytics, prioritization, stakeholder",7.9
QA Engineer,"manual testing, automation, test cases, selenium",4.4
Software Engineer,"react, microservices, data structures, rest, c++, algorithms",0.7
UI/UX Designer,"prototyping, adobe xd, html, responsive design, ansible",4.9
Software Engineer,"react, git, python, microservices",6.1
Data Scientist,"ml, numpy, scikit-learn, deep learning, keras, aws",1.8
Business Analyst,"powerbi, data visualization, stakeholder, sql, requirement gathering",6.9
Software Engineer,"microservices, rest, sql, python",5.6
UI/UX Designer,"usability testing, figma, css",5
Marketing,"content, seo, analytics",1.4
UI/UX Designer,"adobe xd, wireframing, user research, figma, css, html, test cases",5.2
Marketing,"analytics, email marketing, campaign, branding, seo",5.6
Software Engineer,"react, docker, data structures, python",3.9
Marketing,"analytics, campaign, branding, content, seo",6.3
Sales,"salesforce, closing deals, negotiation, crm, account management, cold calling",3.9
HR,"onboarding, payroll, talent acquisition, hr policies",1.7
Software Engineer,"git, python, rest",1.3
DevOps Engineer,"docker, aws, linux",1.3
Sales,"account management, lead generation, crm, salesforce, cold calling",2.9
HR,"talent acquisition, payroll, hr policies, recruitment, interviewing, employee relations",0
Marketing,"campaign, email marketing, google ads",3.4
DevOps Engineer,"ansible, ci/cd, docker, linux, jenkins, monitoring",10.2
HR,"interviewing, onboarding, hr policies",4.6
HR,"talent acquisition, recruitment, employee relations",4.6
DevOps Engineer,"ci/cd, docker, linux, data visualization",2.9
Data Scientist,"tensorflow, sql, r, deep learning, pandas",3
Data Scientist,"sql, tensorflow, deep learning, numpy, reporting",7.7
Software Engineer,"c++, docker, rest, microservices",6.8
DevOps Engineer,"docker, aws, terraform, jenkins, kubernetes",2.4
Marketing,"branding, email marketing, campaign, google ads, social media, pytest",0.7
UI/UX Designer,"prototyping, adobe xd, wireframing, html",4.5
Business Analyst,"reporting, excel, stakeholder, powerbi, data visualization",0
UI/UX Designer,"wireframing, figma, user research, html, usability testing, adobe xd",2.9
Business Analyst,"sql, reporting, stakeholder",3.3
Software Engineer,"sql, algorithms, c++, docker, python, nodejs, content",5.2
HR,"payroll, recruitment, onboarding, employee relations, reporting",8.9
QA Engineer,"performance testing, postman, pytest, test cases, manual testing",4.1
Sales,"lead generation, account management, salesforce, cold calling, crm, talent acquisition",4.6
Data Scientist,"sql, scikit-learn, python, nlp, ml, keras",1.5
Business Analyst,"excel, tableau, stakeholder, reporting, data visualization, sql",6.1
Sales,"crm, closing deals, cold calling, negotiation",5.1
Product Manager,"pricing, wireframing, prioritization",3.3
UI/UX Designer,"responsive design, user research, html, figma",7.9
Product Manager,"agile, roadmap, analytics, crm",3
DevOps Engineer,"jenkins, docker, aws, monitoring, ansible",6
Sales,"negotiation, closing deals, account management, css",1.7
Data Scientist,"scikit-learn, ml, pandas, sql",7.1
DevOps Engineer,"kubernetes, terraform, ansible, linux, monitoring, jenkins",2.9
QA Engineer,"manual testing, pytest, postman, employee relations",5.9
QA Engineer,"automation, postman, bug tracking, manual testing",0
Sales,"cold calling, salesforce, crm, account management, negotiation, lead generation",4.8
UI/UX Designer,"figma, adobe xd, css, user research, usability testing, html",5.4
Software Engineer,"data structures, sql, rest, algorithms, react, nodejs",4.7
Sales,"closing deals, account management, crm",2.9
HR,"hr policies, recruitment, employee relations, talent acquisition, interviewing, tableau",2.6
QA Engineer,"manual testing, test cases, bug tracking, pytest",4.1
Business Analyst,"excel, sql, powerbi",0
UI/UX Designer,"css, wireframing, adobe xd, usability testing, html",3.3
HR,"onboarding, payroll, employee relations, hr policies",6.9
QA Engineer,"manual testing, selenium, bug tracking",0
Business Analyst,"data visualization, requirement gathering, reporting, sql, branding",6.2
Data Scientist,"nlp, r, tensorflow, python",0.5
UI/UX Designer,"figma, html, responsive design, wireframing, user research, social media",6.2
Software Engineer,"data structures, rest, git, communication",6
DevOps Engineer,"kubernetes, docker, jenkins, ci/cd, monitoring",6.5
QA Engineer,"postman, bug tracking, automation, manual testing, selenium, pytest",0.3
