category,skills,E
Business Analyst,"tableau, requirement gathering, data visualization, reporting, sql, stakeholder, wireframing",7.9
Software Engineer,"c++, git, microservices",4.7
HR,"interviewing, recruitment, onboarding, payroll, hr policies, talent acquisition",1.3
Sales,"closing deals, crm, cold calling, lead generation, account management, salesforce",2.4
Data Scientist,"statistics, numpy, keras, nlp",5
Sales,"lead generation, salesforce, crm",2.6
Software Engineer,"c++, algorithms, python, microservices, rest, react",6.8
Software Engineer,"python, nodejs, rest, java, c++",6.3
Software Engineer,"c++, algorithms, git, java, react, docker",5.5
UI/UX Designer,"adobe xd, css, figma, wireframing, responsive design",3.6
Marketing,"email marketing, content, seo, branding, terraform",0.8
QA Engineer,"selenium, manual testing, performance testing, pytest",4.8
Product Manager,"stakeholder, user research, pricing, communication, roadmap",5.1
Business Analyst,"sql, data visualization, stakeholder, powerbi, onboarding",4.5
Marketing,"analytics, social media, content, google ads, email marketing",9.9
QA Engineer,"bug tracking, selenium, automation, postman",2.3
Business Analyst,"data visualization, reporting, powerbi, stakeholder, sql, excel",2.3
Marketing,"campaign, content, google ads, social media, email marketing",4
Business Analyst,"excel, data visualization, requirement gathering, tableau, powerbi",1
Product Manager,"wireframing, analytics, stakeholder",7.9
HR,"onboarding, talent acquisition, hr policies, interviewing, payroll, employee relations, usability testing",9.1
QA Engineer,"manual testing, automation, postman, performance testing, pytest",5
DevOps Engineer,"monitoring, docker, ansible, aws, terraform, kubernetes, user research",5.1
Data Scientist,"keras, scikit-learn, pandas, ml",9.5
QA Engineer,"postman, selenium, pytest, automation, test cases",6.9
Data Scientist,"ml, r, keras, statistics, numpy, python",5.7
UI/UX Designer,"css, adobe xd, usability testing, html, wireframing",4.8
UI/UX Designer,"prototyping, css, wireframing, responsive design, html",0
Business Analyst,"data visualization, powerbi, excel, tableau",5.1
UI/UX Designer,"responsive design, wireframing, usability testing",4.3
Software Engineer,"python, algorithms, rest",5.5
DevOps Engineer,"kubernetes, ansible, bash, docker, ci/cd",5.3
HR,"talent acquisition, onboarding, payroll, interviewing, employee relations, hr policies",4.7
HR,"talent acquisition, hr policies, interviewing, employee relations, onboarding, payroll",3.7
UI/UX Designer,"wireframing, css, usability testing, user research, adobe xd, html, employee relations",6.3
Software Engineer,"java, python, rest",4.8
Business Analyst,"stakeholder, sql, reporting, data visualization, tableau, requirement gathering",5
Product Manager,"sql, stakeholder, pricing, wireframing",9.6
HR,"recruitment, onboarding, talent acquisition, negotiation",0
Business Analyst,"excel, requirement gathering, powerbi",0.4
HR,"hr policies, employee relations, payroll, onboarding, talent acquisition, interviewing",6.2
Product Manager,"agile, roadmap, prioritization, user research, communication",10.1
HR,"recruitment, interviewing, employee relations, talent acquisition, onboarding",9.1
QA Engineer,"manual testing, selenium, bug tracking, content",3.1
Software Engineer,"java, c++, data structures, sql, algorithms",2.3
Data Scientist,"ml, deep learning, python, statistics, r, numpy",5.1
Business Analyst,"powerbi, requirement gathering, stakeholder, excel",0.5
HR,"interviewing, employee relations, talent acquisition, recruitment, onboarding",6.9
Sales,"account management, negotiation, crm, cold calling, salesforce, closing deals, requirement gathering",0
Software Engineer,"microservices, algorithms, rest, closing deals",8.1
Sales,"cold calling, closing deals, negotiation, account management, crm",0
Sales,"lead generation, account management, closing deals, negotiation, salesforce, test cases",4
QA Engineer,"manual testing, selenium, performance testing, pytest, test cases, postman",4.9
Software Engineer,"c++, react, algorithms, nodejs, java",5
DevOps Engineer,"linux, jenkins, docker, ci/cd, bash",9
Sales,"salesforce, lead generation, negotiation, cold calling, account management, sql",2.5
Data Scientist,"sql, python, scikit-learn, r, pandas, statistics",7
Product Manager,"communication, analytics, user research",0
UI/UX Designer,"wireframing, css, user research, prototyping, responsive design, html",7
Sales,"cold calling, closing deals, crm",4.7
UI/UX Designer,"responsive design, html, adobe xd, css, user research, usability testing",6.2
HR,"employee relations, hr policies, recruitment, onboarding",0
HR,"payroll, employee relations, interviewing, recruitment, talent acquisition, onboarding",3.1
Marketing,"analytics, email marketing, social media, ansible",1.6
QA Engineer,"bug tracking, manual testing, performance testing, automation, test cases, postman",0
Marketing,"social media, seo, branding, campaign",1.7
Software Engineer,"java, microservices, docker, roadmap",0.4
Product Manager,"prioritization, pricing, sql",5.2
Marketing,"social media, content, branding",2.6
Software Engineer,"c++, algorithms, data structures, microservices, python, sql",3
Business Analyst,"data visualization, sql, reporting, excel, tableau",3.7
DevOps Engineer,"monitoring, kubernetes, linux",4.5
QA Engineer,"test cases, postman, manual testing, hr policies",4.9
Product Manager,"agile, analytics, pricing, prioritization, communication",6.6
Business Analyst,"sql, stakeholder, powerbi, requirement gathering, tableau, excel",4.7
Marketing,"branding, google ads, seo, content",7.4
Business Analyst,"excel, data visualization, reporting, powerbi, tableau",3.7
Software Engineer,"rest, sql, docker, data structures, python, microservices, social media",9.5
Product Manager,"agile, wireframing, roadmap, sql, pricing, user research, performance testing",5.3
QA Engineer,"pytest, test cases, bug tracking",1.1
Business Analyst,"reporting, excel, powerbi, requirement gathering, tableau",4.1
Marketing,"social media, seo, branding",4
DevOps Engineer,"terraform, ci/cd, monitoring",9.3
Product Manager,"user research, stakeholder, roadmap, pricing",4.4
HR,"hr policies, talent acquisition, recruitment, interviewing, onboarding, payroll",2.7
UI/UX Designer,"prototyping, css, responsive design, salesforce",4.4
HR,"recruitment, payroll, onboarding",8.4
HR,"talent acquisition, payroll, employee relations, recruitment",1.7
HR,"hr policies, onboarding, recruitment",0
HR,"talent acquisition, interviewing, employee relations",9.3
Data Scientist,"tensorflow, keras, r",4.4
Data Scientist,"tensorflow, keras, r, performance testing",1.4
Product Manager,"sql, stakeholder, prioritization, pricing, user research, analytics",4.7
Sales,"negotiation, lead generation, account management, cold calling, closing deals, salesforce",6.4
QA Engineer,"performance testing, postman, test cases, automation, manual testing, hr policies",3.6
Data Scientist,"scikit-learn, pandas, python, r, deep learning",10.5
Sales,"cold calling, negotiation, salesforce",0.4
Data Scientist,"nlp, python, pandas, ml, sql",0
QA Engineer,"manual testing, performance testing, bug tracking",5.9
Product Manager,"sql, wireframing, pricing",5.8
QA Engineer,"automation, performance testing, bug tracking, pytest",0.7
HR,"interviewing, payroll, talent acquisition, recruitment, hr policies, onboarding",2.4
QA Engineer,"postman, pytest, performance testing, test cases, automation, selenium, user research",6.2
Sales,"salesforce, crm, cold calling, account management, closing deals",0.7
HR,"hr policies, recruitment, onboarding, reporting",3.8
Data Scientist,"pandas, ml, statistics, numpy",3.8
Software Engineer,"docker, algorithms, python, bug tracking",6.6
Software Engineer,"algorithms, python, c++, data structures",8.1
Business Analyst,"sql, reporting, data visualization, stakeholder",7.7
HR,"onboarding, interviewing, employee relations, payroll, talent acquisition, manual testing",6.3
Software Engineer,"java, microservices, sql, docker, html",5.8
HR,"interviewing, onboarding, talent acquisition, hr policies, employee relations, payroll",7.1
Product Manager,"user research, wireframing, sql",4.1
Marketing,"content, seo, branding, social media, google ads, analytics",3.1
Software Engineer,"java, react, algorithms, social media",9.3
UI/UX Designer,"usability testing, user research, figma",5.7
QA Engineer,"bug tracking, postman, automation, performance testing, selenium, pytest, campaign",1.6
Product Manager,"pricing, sql, roadmap, usability testing",3.1
Business Analyst,"data visualization, excel, sql, powerbi, tableau, stakeholder",7.1
Business Analyst,"tableau, requirement gathering, sql, stakeholder",6.1
DevOps Engineer,"terraform, monitoring, docker, bash",0
HR,"talent acquisition, payroll, employee relations, hr policies, negotiation",0
Data Scientist,"numpy, statistics, r",3
HR,"interviewing, talent acquisition, employee relations, payroll, recruitment, hr policies",0
UI/UX Designer,"usability testing, figma, responsive design",5.7
Product Manager,"analytics, pricing, wireframing, agile, user research, prioritization",9.2
UI/UX Designer,"prototyping, wireframing, figma, responsive design",3.6
Business Analyst,"requirement gathering, stakeholder, excel, data visualization, sql, powerbi",4.1
Business Analyst,"reporting, tableau, data visualization, requirement gathering",2.1
HR,"payroll, hr policies, talent acquisition, onboarding, interviewing",3.2
DevOps Engineer,"kubernetes, monitoring, ci/cd, terraform, bash",3.7
UI/UX Designer,"adobe xd, css, prototyping, html, data visualization",4.2
Business Analyst,"excel, tableau, reporting, powerbi, requirement gathering",2.3
UI/UX Designer,"adobe xd, prototyping, wireframing, responsive design, usability testing",4.6
Product Manager,"pricing, user research, stakeholder, wireframing, agile, prioritization, aws",6.8
Data Scientist,"r, sql, ml, python, keras",7.7
QA Engineer,"bug tracking, manual testing, pytest",2.2
HR,"onboarding, employee relations, talent acquisition, interviewing, payroll, hr policies",7
DevOps Engineer,"terraform, docker, ansible, linux",7.3
Business Analyst,"tableau, reporting, data visualization, sql",5.1
Software Engineer,"java, algorithms, nodejs, c++, microservices, git",2.2
DevOps Engineer,"kubernetes, ci/cd, docker, terraform, linux, bash",0.8
Product Manager,"pricing, agile, roadmap",7
Sales,"cold calling, salesforce, negotiation, user research",1.3
DevOps Engineer,"monitoring, terraform, ansible, kubernetes, linux, docker",12.2
Sales,"lead generation, negotiation, cold calling, salesforce, crm, account management, numpy",5.6
Marketing,"content, campaign, social media, seo",4.7
UI/UX Designer,"wireframing, prototyping, figma, css",9.6
Software Engineer,"docker, rest, algorithms, python",10
DevOps Engineer,"jenkins, terraform, docker",0
Sales,"crm, closing deals, account management, negotiation",0
Marketing,"google ads, email marketing, social media, analytics, pytest",2.7
Sales,"salesforce, negotiation, account management, crm, closing deals",1.5
Software Engineer,"microservices, nodejs, rest",2.6
Sales,"closing deals, salesforce, negotiation, crm, account management",5.6
Product Manager,"agile, stakeholder, sql, wireframing",3.4
Marketing,"content, campaign, seo",8.4
Marketing,"seo, google ads, branding",4.1
Sales,"lead generation, cold calling, account management, closing deals, salesforce",5
DevOps Engineer,"kubernetes, ansible, ci/cd, docker, aws, monitoring",6
Marketing,"campaign, google ads, analytics",0.2
Sales,"cold calling, salesforce, negotiation, account management, crm, closing deals",0.8
Sales,"lead generation, account management, cold calling, crm, salesforce, nodejs",6.9
Sales,"lead generation, crm, closing deals, account management, negotiation, cold calling, pandas",3.4
HR,"talent acquisition, payroll, hr policies, employee relations, data visualization",2.4
Sales,"negotiation, lead generation, crm, closing deals, cold calling, salesforce",2.9
QA Engineer,"manual testing, bug tracking, pytest, test cases, performance testing",2.9
QA Engineer,"automation, postman, pytest, test cases, lead generation",1.9
QA Engineer,"performance testing, test cases, manual testing, pytest, postman",2.9
Marketing,"branding, analytics, campaign, content, seo, google ads",3.3
Business Analyst,"sql, stakeholder, tableau, data visualization, excel",4.2
Software Engineer,"c++, docker, python, selenium",9.5
QA Engineer,"automation, pytest, selenium, test cases, bug tracking, manual testing",4.9
Sales,"account management, salesforce, closing deals, lead generation",3
DevOps Engineer,"ansible, linux, aws",6
Product Manager,"stakeholder, roadmap, wireframing, user research, analytics, agile",4.5
Business Analyst,"stakeholder, sql, tableau, data visualization, requirement gathering, powerbi",2.4
HR,"onboarding, payroll, talent acquisition",6.4
Data Scientist,"statistics, deep learning, pandas",3.8
QA Engineer,"postman, performance testing, bug tracking",0.8
Marketing,"social media, seo, campaign, email marketing, google ads, content",0
Data Scientist,"scikit-learn, statistics, r, pandas, deep learning",7.7
Sales,"crm, closing deals, negotiation, salesforce, lead generation, cold calling",3.5
Business Analyst,"tableau, reporting, powerbi, requirement gathering, stakeholder, prioritization",5.1
Business Analyst,"reporting, stakeholder, data visualization, requirement gathering, powerbi",3
DevOps Engineer,"jenkins, terraform, linux, kubernetes, bash, monitoring",5.6
Data Scientist,"ml, statistics, nlp, numpy, pandas, scikit-learn",1.7
QA Engineer,"pytest, automation, postman",4.4
HR,"onboarding, hr policies, talent acquisition, tensorflow",15.1
QA Engineer,"automation, test cases, postman, selenium, bug tracking",1.7
Business Analyst,"powerbi, data visualization, tableau, requirement gathering, stakeholder, excel, manual testing",5.7
Product Manager,"agile, pricing, stakeholder, user research, prioritization",6.4
Software Engineer,"java, git, microservices, responsive design",11.1
Product Manager,"analytics, agile, prioritization, user research",5.3
Product Manager,"analytics, agile, stakeholder, wireframing",8
Business Analyst,"reporting, tableau, data visualization",0
UI/UX Designer,"responsive design, prototyping, html, powerbi",4.7
Business Analyst,"reporting, data visualization, excel, requirement gathering, user research",4.7
Marketing,"email marketing, branding, seo, campaign",1.3
Data Scientist,"ml, scikit-learn, sql, deep learning, statistics, nlp, selenium",6.9
DevOps Engineer,"aws, docker, bash, kubernetes",1.2
UI/UX Designer,"user research, figma, prototyping, ci/cd",0
HR,"employee relations, hr policies, talent acquisition, payroll, recruitment, onboarding, nlp",4.8
Business Analyst,"tableau, powerbi, stakeholder, requirement gathering, reporting, prototyping",3.7
UI/UX Designer,"usability testing, wireframing, user research, figma, html, adobe xd",2.4
HR,"talent acquisition, interviewing, hr policies, payroll, employee relations",0
HR,"onboarding, interviewing, recruitment, talent acquisition, employee relations, hr policies",8.9
Software Engineer,"python, git, react",5.1
Business Analyst,"powerbi, sql, tableau, requirement gathering, stakeholder, reporting, branding",5.5
Software Engineer,"rest, docker, sql, data structures, python, algorithms, tensorflow",8.8
Software Engineer,"algorithms, python, docker, c++",0
Sales,"salesforce, lead generation, account management",8.2
Sales,"cold calling, salesforce, closing deals, lead generation, negotiation",5.3
UI/UX Designer,"responsive design, usability testing, prototyping, css, adobe xd, wireframing",3.7
HR,"recruitment, hr policies, employee relations",1.8
UI/UX Designer,"css, figma, responsive design, wireframing, usability testing, html",3.3
QA Engineer,"automation, selenium, performance testing, bug tracking, postman, manual testing, content",3.3
DevOps Engineer,"ansible, terraform, monitoring",2.2
Marketing,"google ads, seo, campaign, analytics, email marketing, branding",4
Software Engineer,"sql, algorithms, react, docker, data structures",2.5
QA Engineer,"manual testing, bug tracking, test cases, postman",3.5
DevOps Engineer,"monitoring, terraform, jenkins, aws, docker",3.5
Data Scientist,"statistics, deep learning, r",2.7
UI/UX Designer,"prototyping, responsive design, html, adobe xd, figma, usability testing",3.4
UI/UX Designer,"css, wireframing, prototyping, responsive design, user research",3.9
DevOps Engineer,"docker, aws, terraform, kubernetes",2.4
Data Scientist,"scikit-learn, sql, ml, python, keras",7.6
Business Analyst,"reporting, stakeholder, excel, sql, powerbi",5.8
Software Engineer,"nodejs, react, python, docker",4.6
Sales,"account management, negotiation, closing deals, cold calling, salesforce",3.6
Sales,"cold calling, salesforce, account management, crm, closing deals, negotiation, nlp",1.5
Software Engineer,"rest, python, algorithms, data structures, git, react",9.9
DevOps Engineer,"linux, terraform, kubernetes, nodejs",0
UI/UX Designer,"adobe xd, usability testing, wireframing",7.4
Data Scientist,"statistics, sql, scikit-learn",4.9
HR,"employee relations, hr policies, talent acquisition, payroll",7.2
Sales,"account management, cold calling, salesforce, negotiation, crm",5.5
UI/UX Designer,"html, responsive design, css, usability testing, figma, prototyping, aws",2.5
Software Engineer,"c++, microservices, sql, hr policies",2.2
Business Analyst,"stakeholder, powerbi, requirement gathering, tableau, excel, numpy",2
Data Scientist,"tensorflow, statistics, ml",2.4
Sales,"negotiation, salesforce, lead generation, account management, cold calling",4.9
UI/UX Designer,"wireframing, figma, prototyping, usability testing, recruitment",7
QA Engineer,"performance testing, manual testing, postman, pytest, bug tracking, automation",2.1
DevOps Engineer,"terraform, linux, kubernetes, ansible, bash",5.7
HR,"employee relations, interviewing, payroll, recruitment, talent acquisition, hr policies",3.4
Data Scientist,"scikit-learn, python, statistics, tensorflow, ml",2.8
Software Engineer,"java, data structures, c++, git, react, rest",4.1
Business Analyst,"tableau, reporting, requirement gathering, stakeholder, figma",5.3
Business Analyst,"tableau, requirement gathering, data visualization",1.1
HR,"employee relations, onboarding, hr policies, recruitment, talent acquisition",13.3
DevOps Engineer,"docker, aws, ci/cd, kubernetes",3.8
QA Engineer,"postman, manual testing, pytest",1.2
Sales,"lead generation, cold calling, closing deals, crm, algorithms",5.6
QA Engineer,"postman, performance testing, pytest, test cases",0
Data Scientist,"pandas, tensorflow, sql, keras",4.6
Software Engineer,"algorithms, git, rest, react",6.6
Software Engineer,"react, docker, nodejs, git, java",2.9
DevOps Engineer,"docker, ansible, terraform, linux",5.2
Sales,"salesforce, account management, closing deals, cold calling",5.9
Business Analyst,"excel, reporting, tableau, sql, powerbi, data visualization, interviewing",2.1
QA Engineer,"test cases, selenium, performance testing",3.9
DevOps Engineer,"terraform, ansible, aws, bash, monitoring, linux",8.1
Marketing,"google ads, seo, analytics, email marketing",4.1
Sales,"crm, salesforce, lead generation, account management, employee relations",1.7
HR,"hr policies, recruitment, onboarding",4.5
Marketing,"google ads, content, email marketing, campaign, analytics, seo",0
QA Engineer,"postman, manual testing, selenium, pytest, test cases",3.6
UI/UX Designer,"wireframing, css, prototyping, campaign",5.4
Marketing,"seo, social media, email marketing, reporting",8.2
HR,"hr policies, onboarding, recruitment, employee relations, interviewing",5
QA Engineer,"manual testing, test cases, postman, bug tracking",5.6
Sales,"crm, lead generation, account management, salesforce, linux",3.4
UI/UX Designer,"usability testing, adobe xd, html, wireframing",2.9
UI/UX Designer,"responsive design, user research, prototyping, adobe xd, figma, automation",0
HR,"payroll, interviewing, recruitment, onboarding, talent acquisition, hr policies",5.3
Marketing,"branding, content, campaign, stakeholder",1.6
HR,"talent acquisition, hr policies, payroll, recruitment, scikit-learn",8.1
UI/UX Designer,"usability testing, html, responsive design, figma, css",1.9
DevOps Engineer,"jenkins, aws, ansible, selenium",1.7
QA Engineer,"selenium, postman, performance testing, test cases, manual testing, automation, rest",5.7
Product Manager,"wireframing, stakeholder, communication, roadmap",0
HR,"employee relations, onboarding, hr policies, recruitment, interviewing",12.2
DevOps Engineer,"linux, jenkins, ansible, terraform, bash",7.1
Business Analyst,"sql, powerbi, tableau, stakeholder, requirement gathering, excel",2.9
DevOps Engineer,"jenkins, linux, aws, docker, ci/cd, sql",0
UI/UX Designer,"usability testing, adobe xd, user research, figma, html, prototyping",4.5
UI/UX Designer,"css, figma, wireframing, adobe xd, user research, usability testing, campaign",3
HR,"hr policies, talent acquisition, interviewing, payroll, employee relations, google ads",4
Data Scientist,"nlp, r, statistics, numpy, pandas, excel",1.1
Product Manager,"sql, stakeholder, analytics, user research, roadmap, agile",5.3
Sales,"crm, account management, salesforce, closing deals",4.3
UI/UX Designer,"html, responsive design, css, wireframing, prototyping",7.6
Software Engineer,"algorithms, c++, rest, data structures, git",5.4
Software Engineer,"data structures, sql, react, java, rest, git",2
UI/UX Designer,"user research, responsive design, css",1.6
Business Analyst,"requirement gathering, tableau, sql",8.8
DevOps Engineer,"terraform, monitoring, ansible, ci/cd",3.8
Data Scientist,"nlp, ml, r",6.9
QA Engineer,"performance testing, postman, manual testing, test cases, pytest, pricing",0.5
Marketing,"content, branding, social media, campaign",1.1
DevOps Engineer,"terraform, monitoring, ci/cd",5.1
DevOps Engineer,"bash, monitoring, terraform, ansible, jenkins",7.9
Marketing,"google ads, social media, email marketing, analytics",5.6
Data Scientist,"scikit-learn, nlp, sql, statistics, r",5
HR,"hr policies, employee relations, talent acquisition, recruitment, payroll, onboarding",3.8
QA Engineer,"automation, test cases, selenium, performance testing, pytest, postman",6.7
Product Manager,"analytics, communication, wireframing, ml",8.9
QA Engineer,"automation, manual testing, postman, selenium, performance testing, test cases",2.2
HR,"hr policies, interviewing, payroll, talent acquisition, recruitment",12.2
Business Analyst,"tableau, stakeholder, reporting, excel",4.9
Product Manager,"roadmap, sql, communication, wireframing, pricing",2.9
Data Scientist,"deep learning, python, ml",0
HR,"interviewing, talent acquisition, hr policies, onboarding, recruitment",2.8
Marketing,"campaign, content, social media, email marketing",1.5
Data Scientist,"keras, pandas, statistics, tensorflow, r, python",3.8
DevOps Engineer,"terraform, ansible, jenkins, aws, linux, bash, closing deals",8.9
UI/UX Designer,"css, html, responsive design, usability testing, user research, wireframing",4.3
Product Manager,"agile, stakeholder, communication, user research, wireframing",2.8
QA Engineer,"manual testing, selenium, pytest, bug tracking, performance testing, postman",3.5
QA Engineer,"manual testing, selenium, test cases, postman",2.7
Business Analyst,"reporting, powerbi, requirement gathering, stakeholder, sql, tableau",5
Software Engineer,"docker, sql, react, rest, java",1.8
DevOps Engineer,"terraform, ci/cd, bash, kubernetes",11.8
Software Engineer,"python, algorithms, microservices, react, email marketing",8.9
Sales,"cold calling, salesforce, crm, lead generation, closing deals, account management",2.2
Business Analyst,"data visualization, powerbi, tableau",7.3
Marketing,"email marketing, seo, campaign, content",8.2
Data Scientist,"tensorflow, numpy, python, r",8.8
Sales,"salesforce, account management, cold calling",4
HR,"onboarding, hr policies, talent acquisition, employee relations, recruitment",5.3
Business Analyst,"requirement gathering, stakeholder, reporting, tableau, sql",2.6
